blocksize,image,dimgrid,duration
5,stavrovouni.pgm,3015085,4440
5,stavrovouni.pgm,3015085,4443
5,stavrovouni.pgm,3015085,4445
5,stavrovouni.pgm,3015085,4443
5,stavrovouni.pgm,3015085,4429
5,stavrovouni.pgm,3015085,3718
5,stavrovouni.pgm,3015085,3717
5,stavrovouni.pgm,3015085,6035
5,stavrovouni.pgm,3015085,3756
5,stavrovouni.pgm,3015085,3750
6,stavrovouni.pgm,2512571,3159
6,stavrovouni.pgm,2512571,3144
6,stavrovouni.pgm,2512571,3144
6,stavrovouni.pgm,2512571,3151
6,stavrovouni.pgm,2512571,3153
6,stavrovouni.pgm,2512571,3145
6,stavrovouni.pgm,2512571,3144
6,stavrovouni.pgm,2512571,3143
6,stavrovouni.pgm,2512571,3715
6,stavrovouni.pgm,2512571,3713
6,stavrovouni.pgm,2512571,3728
6,stavrovouni.pgm,2512571,3712
6,stavrovouni.pgm,2512571,3740
6,stavrovouni.pgm,2512571,3717
6,stavrovouni.pgm,2512571,3722
6,stavrovouni.pgm,2512571,3722
6,stavrovouni.pgm,2512571,3718
6,stavrovouni.pgm,2512571,3137
6,stavrovouni.pgm,2512571,3140
6,stavrovouni.pgm,2512571,3140
7,stavrovouni.pgm,2153632,2715
7,stavrovouni.pgm,2153632,2710
7,stavrovouni.pgm,2153632,2710
7,stavrovouni.pgm,2153632,2709
7,stavrovouni.pgm,2153632,2710
7,stavrovouni.pgm,2153632,2709
7,stavrovouni.pgm,2153632,2711
7,stavrovouni.pgm,2153632,2714
7,stavrovouni.pgm,2153632,3258
7,stavrovouni.pgm,2153632,2703
7,stavrovouni.pgm,2153632,2711
7,stavrovouni.pgm,2153632,2723
7,stavrovouni.pgm,2153632,2713
7,stavrovouni.pgm,2153632,2710
7,stavrovouni.pgm,2153632,2709
7,stavrovouni.pgm,2153632,2707
7,stavrovouni.pgm,2153632,2706
7,stavrovouni.pgm,2153632,2711
7,stavrovouni.pgm,2153632,2708
7,stavrovouni.pgm,2153632,2707
8,stavrovouni.pgm,1884428,2848
8,stavrovouni.pgm,1884428,2838
8,stavrovouni.pgm,1884428,2852
8,stavrovouni.pgm,1884428,2847
8,stavrovouni.pgm,1884428,2840
8,stavrovouni.pgm,1884428,2848
8,stavrovouni.pgm,1884428,2851
8,stavrovouni.pgm,1884428,2839
8,stavrovouni.pgm,1884428,2850
8,stavrovouni.pgm,1884428,2855
8,stavrovouni.pgm,1884428,2842
8,stavrovouni.pgm,1884428,2846
8,stavrovouni.pgm,1884428,2845
8,stavrovouni.pgm,1884428,2854
8,stavrovouni.pgm,1884428,2839
8,stavrovouni.pgm,1884428,2841
8,stavrovouni.pgm,1884428,2854
8,stavrovouni.pgm,1884428,2860
8,stavrovouni.pgm,1884428,2851
8,stavrovouni.pgm,1884428,2855
9,stavrovouni.pgm,1675048,2511
9,stavrovouni.pgm,1675048,2516
9,stavrovouni.pgm,1675048,2515
9,stavrovouni.pgm,1675048,2521
9,stavrovouni.pgm,1675048,2519
9,stavrovouni.pgm,1675048,2510
9,stavrovouni.pgm,1675048,2520
9,stavrovouni.pgm,1675048,2522
9,stavrovouni.pgm,1675048,2518
9,stavrovouni.pgm,1675048,2519
9,stavrovouni.pgm,1675048,2519
9,stavrovouni.pgm,1675048,2512
9,stavrovouni.pgm,1675048,2513
9,stavrovouni.pgm,1675048,2518
