num_threads,image,duration
11,MontagneFoncee.pgm,0.000636
11,MontagneFoncee.pgm,0.000650
11,MontagneFoncee.pgm,0.000664
11,MontagneFoncee.pgm,0.035532
12,MontagneFoncee.pgm,0.040336
12,MontagneFoncee.pgm,0.032500
12,MontagneFoncee.pgm,0.001374
12,MontagneFoncee.pgm,0.040830
12,MontagneFoncee.pgm,0.024532
12,MontagneFoncee.pgm,0.016013
12,MontagneFoncee.pgm,0.000699
12,MontagneFoncee.pgm,0.011553
12,MontagneFoncee.pgm,0.014111
12,MontagneFoncee.pgm,0.017570
12,MontagneFoncee.pgm,0.001150
12,MontagneFoncee.pgm,0.040492
12,MontagneFoncee.pgm,0.011847
12,MontagneFoncee.pgm,0.000998
12,MontagneFoncee.pgm,0.036418
12,MontagneFoncee.pgm,0.030368
12,MontagneFoncee.pgm,0.013584
12,MontagneFoncee.pgm,0.002631
12,MontagneFoncee.pgm,0.021907
12,MontagneFoncee.pgm,0.031373
13,MontagneFoncee.pgm,0.036342
13,MontagneFoncee.pgm,0.022797
13,MontagneFoncee.pgm,0.028596
13,MontagneFoncee.pgm,0.003554
13,MontagneFoncee.pgm,0.043968
13,MontagneFoncee.pgm,0.004816
13,MontagneFoncee.pgm,0.016640
13,MontagneFoncee.pgm,0.005868
13,MontagneFoncee.pgm,0.008556
13,MontagneFoncee.pgm,0.031592
13,MontagneFoncee.pgm,0.002349
13,MontagneFoncee.pgm,0.035469
13,MontagneFoncee.pgm,0.007845
13,MontagneFoncee.pgm,0.029422
13,MontagneFoncee.pgm,0.007556
13,MontagneFoncee.pgm,0.008681
13,MontagneFoncee.pgm,0.040367
13,MontagneFoncee.pgm,0.003553
13,MontagneFoncee.pgm,0.019810
13,MontagneFoncee.pgm,0.009897
14,MontagneFoncee.pgm,0.034623
14,MontagneFoncee.pgm,0.031347
14,MontagneFoncee.pgm,0.041521
14,MontagneFoncee.pgm,0.044977
14,MontagneFoncee.pgm,0.051777
14,MontagneFoncee.pgm,0.018837
14,MontagneFoncee.pgm,0.021671
14,MontagneFoncee.pgm,0.038693
14,MontagneFoncee.pgm,0.007991
14,MontagneFoncee.pgm,0.027025
14,MontagneFoncee.pgm,0.021924
14,MontagneFoncee.pgm,0.021172
14,MontagneFoncee.pgm,0.018312
14,MontagneFoncee.pgm,0.040416
14,MontagneFoncee.pgm,0.022353
14,MontagneFoncee.pgm,0.024873
14,MontagneFoncee.pgm,0.004587
14,MontagneFoncee.pgm,0.048524
14,MontagneFoncee.pgm,0.017644
14,MontagneFoncee.pgm,0.033961
15,MontagneFoncee.pgm,0.016988
15,MontagneFoncee.pgm,0.021125
15,MontagneFoncee.pgm,0.035836
15,MontagneFoncee.pgm,0.032750
15,MontagneFoncee.pgm,0.001476
15,MontagneFoncee.pgm,0.030957
15,MontagneFoncee.pgm,0.022417
15,MontagneFoncee.pgm,0.011673
15,MontagneFoncee.pgm,0.042033
15,MontagneFoncee.pgm,0.045409
15,MontagneFoncee.pgm,0.029753
15,MontagneFoncee.pgm,0.051759
15,MontagneFoncee.pgm,0.044094
15,MontagneFoncee.pgm,0.055333
15,MontagneFoncee.pgm,0.018419
15,MontagneFoncee.pgm,0.010698
15,MontagneFoncee.pgm,0.022273
15,MontagneFoncee.pgm,0.007409
15,MontagneFoncee.pgm,0.002279
15,MontagneFoncee.pgm,0.023495
16,MontagneFoncee.pgm,0.044102
16,MontagneFoncee.pgm,0.006663
16,MontagneFoncee.pgm,0.009108
16,MontagneFoncee.pgm,0.055541
16,MontagneFoncee.pgm,0.005660
16,MontagneFoncee.pgm,0.013294
16,MontagneFoncee.pgm,0.047763
16,MontagneFoncee.pgm,0.036254
16,MontagneFoncee.pgm,0.030680
16,MontagneFoncee.pgm,0.034472
16,MontagneFoncee.pgm,0.036663
16,MontagneFoncee.pgm,0.041784
16,MontagneFoncee.pgm,0.048944
16,MontagneFoncee.pgm,0.044178
16,MontagneFoncee.pgm,0.023448
16,MontagneFoncee.pgm,0.046223
16,MontagneFoncee.pgm,0.057753
16,MontagneFoncee.pgm,0.028160
16,MontagneFoncee.pgm,0.016904
16,MontagneFoncee.pgm,0.036246
1,stavrovouni.pgm,0.047178
1,stavrovouni.pgm,0.047390
1,stavrovouni.pgm,0.047174
1,stavrovouni.pgm,0.046997
1,stavrovouni.pgm,0.046944
1,stavrovouni.pgm,0.046959
1,stavrovouni.pgm,0.046738
1,stavrovouni.pgm,0.046735
1,stavrovouni.pgm,0.047134
1,stavrovouni.pgm,0.046508
1,stavrovouni.pgm,0.046708
1,stavrovouni.pgm,0.047189
1,stavrovouni.pgm,0.046794
1,stavrovouni.pgm,0.046776
1,stavrovouni.pgm,0.046738
1,stavrovouni.pgm,0.046923
1,stavrovouni.pgm,0.047102
1,stavrovouni.pgm,0.046813
1,stavrovouni.pgm,0.046746
1,stavrovouni.pgm,0.046946
2,stavrovouni.pgm,0.064524
2,stavrovouni.pgm,0.064023
2,stavrovouni.pgm,0.063593
2,stavrovouni.pgm,0.054472
2,stavrovouni.pgm,0.063628
2,stavrovouni.pgm,0.055577
2,stavrovouni.pgm,0.062076
2,stavrovouni.pgm,0.053643
2,stavrovouni.pgm,0.063109
2,stavrovouni.pgm,0.062927
2,stavrovouni.pgm,0.061815
2,stavrovouni.pgm,0.064346
2,stavrovouni.pgm,0.067972
2,stavrovouni.pgm,0.064968
2,stavrovouni.pgm,0.062791
2,stavrovouni.pgm,0.062969
2,stavrovouni.pgm,0.061406
2,stavrovouni.pgm,0.064868
2,stavrovouni.pgm,0.063018
2,stavrovouni.pgm,0.061736
3,stavrovouni.pgm,0.070610
3,stavrovouni.pgm,0.068511
3,stavrovouni.pgm,0.071797
3,stavrovouni.pgm,0.070148
3,stavrovouni.pgm,0.071234
3,stavrovouni.pgm,0.071904
3,stavrovouni.pgm,0.067683
3,stavrovouni.pgm,0.068561
3,stavrovouni.pgm,0.067272
3,stavrovouni.pgm,0.070925
3,stavrovouni.pgm,0.069222
3,stavrovouni.pgm,0.076907
3,stavrovouni.pgm,0.069470
3,stavrovouni.pgm,0.068133
3,stavrovouni.pgm,0.075008
3,stavrovouni.pgm,0.072859
3,stavrovouni.pgm,0.070241
3,stavrovouni.pgm,0.074786
3,stavrovouni.pgm,0.069184
3,stavrovouni.pgm,0.073879
4,stavrovouni.pgm,0.077081
4,stavrovouni.pgm,0.076497
4,stavrovouni.pgm,0.086701
4,stavrovouni.pgm,0.081520
4,stavrovouni.pgm,0.081831
4,stavrovouni.pgm,0.087007
4,stavrovouni.pgm,0.078313
4,stavrovouni.pgm,0.080758
4,stavrovouni.pgm,0.079177
4,stavrovouni.pgm,0.080705
4,stavrovouni.pgm,0.080235
4,stavrovouni.pgm,0.084817
4,stavrovouni.pgm,0.085969
4,stavrovouni.pgm,0.076250
4,stavrovouni.pgm,0.081318
4,stavrovouni.pgm,0.081422
4,stavrovouni.pgm,0.077155
4,stavrovouni.pgm,0.085507
4,stavrovouni.pgm,0.086018
4,stavrovouni.pgm,0.072979
5,stavrovouni.pgm,0.080424
5,stavrovouni.pgm,0.085352
5,stavrovouni.pgm,0.096767
5,stavrovouni.pgm,0.087948
5,stavrovouni.pgm,0.095460
5,stavrovouni.pgm,0.092160
5,stavrovouni.pgm,0.083793
5,stavrovouni.pgm,0.077990
5,stavrovouni.pgm,0.085822
5,stavrovouni.pgm,0.081581
5,stavrovouni.pgm,0.090080
5,stavrovouni.pgm,0.086168
5,stavrovouni.pgm,0.094004
5,stavrovouni.pgm,0.081966
5,stavrovouni.pgm,0.089111
5,stavrovouni.pgm,0.079399
5,stavrovouni.pgm,0.083324
5,stavrovouni.pgm,0.087280
5,stavrovouni.pgm,0.080422
5,stavrovouni.pgm,0.086555
6,stavrovouni.pgm,0.083698
6,stavrovouni.pgm,0.097338
6,stavrovouni.pgm,0.094084
6,stavrovouni.pgm,0.080812
6,stavrovouni.pgm,0.096674
6,stavrovouni.pgm,0.086298
6,stavrovouni.pgm,0.088182
6,stavrovouni.pgm,0.091164
6,stavrovouni.pgm,0.094897
6,stavrovouni.pgm,0.087629
6,stavrovouni.pgm,0.095262
6,stavrovouni.pgm,0.095212
6,stavrovouni.pgm,0.096591
6,stavrovouni.pgm,0.082938
6,stavrovouni.pgm,0.079121
6,stavrovouni.pgm,0.084862
6,stavrovouni.pgm,0.089904
6,stavrovouni.pgm,0.095838
6,stavrovouni.pgm,0.081909
6,stavrovouni.pgm,0.094462
7,stavrovouni.pgm,0.103381
7,stavrovouni.pgm,0.098211
7,stavrovouni.pgm,0.102779
7,stavrovouni.pgm,0.127968
7,stavrovouni.pgm,0.105582
7,stavrovouni.pgm,0.117200
7,stavrovouni.pgm,0.100115
7,stavrovouni.pgm,0.088266
7,stavrovouni.pgm,0.093896
7,stavrovouni.pgm,0.105088
7,stavrovouni.pgm,0.096652
7,stavrovouni.pgm,0.123155
7,stavrovouni.pgm,0.091446
7,stavrovouni.pgm,0.094760
7,stavrovouni.pgm,0.102247
7,stavrovouni.pgm,0.083732
7,stavrovouni.pgm,0.102985
7,stavrovouni.pgm,0.087439
7,stavrovouni.pgm,0.100021
7,stavrovouni.pgm,0.085533
8,stavrovouni.pgm,0.107778
8,stavrovouni.pgm,0.116120
8,stavrovouni.pgm,0.096850
8,stavrovouni.pgm,0.112322
8,stavrovouni.pgm,0.109298
8,stavrovouni.pgm,0.092017
8,stavrovouni.pgm,0.092118
8,stavrovouni.pgm,0.086938
8,stavrovouni.pgm,0.110425
8,stavrovouni.pgm,0.100095
8,stavrovouni.pgm,0.093754
8,stavrovouni.pgm,0.095008
8,stavrovouni.pgm,0.097026
8,stavrovouni.pgm,0.104127
8,stavrovouni.pgm,0.101468
8,stavrovouni.pgm,0.100066
8,stavrovouni.pgm,0.089191
8,stavrovouni.pgm,0.111651
8,stavrovouni.pgm,0.136521
8,stavrovouni.pgm,0.093402
9,stavrovouni.pgm,0.133213
9,stavrovouni.pgm,0.130809
9,stavrovouni.pgm,0.133425
9,stavrovouni.pgm,0.131432
9,stavrovouni.pgm,0.144415
9,stavrovouni.pgm,0.135294
9,stavrovouni.pgm,0.125248
9,stavrovouni.pgm,0.134148
9,stavrovouni.pgm,0.137266
9,stavrovouni.pgm,0.133685
